"","87655","999","default","""TrollCamp"" <87655>","SCCP/87655-0000000D","","VoiceMailMain","87655@default","2017-06-06 23:30:39","2017-06-06 23:30:40","2017-06-06 23:30:43",3,3,"ANSWERED","DOCUMENTATION","main.fuckyou-1496791839.27",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-0000000E","SCCP/87655-0000000F","Dial","SCCP/87655, 240","2017-06-06 23:30:53",,"2017-06-06 23:30:57",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1496791853.29",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-0000000E","","VoiceMail","87655@default,u","2017-06-06 23:30:57","2017-06-06 23:30:57","2017-06-06 23:31:16",18,18,"ANSWERED","DOCUMENTATION","main.fuckyou-1496791853.29",""
"","87655","999","default","""TrollCamp"" <87655>","SCCP/87655-00000011","","VoiceMailMain","87655@default","2017-06-06 23:32:12","2017-06-06 23:32:13","2017-06-06 23:32:19",7,6,"ANSWERED","DOCUMENTATION","main.fuckyou-1496791932.34",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-00000001","SCCP/87655-00000002","Dial","SCCP/87655, 240","2017-06-06 23:48:06",,"2017-06-06 23:48:09",2,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1496792886.0",""
"","87655","999","default","""TrollCamp"" <87655>","SCCP/87655-00000004","","VoiceMailMain","87655@default","2017-06-06 23:55:05","2017-06-06 23:55:05","2017-06-06 23:55:31",25,25,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793305.4",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-00000005","SCCP/87655-00000006","Dial","SCCP/87655, 240","2017-06-06 23:55:40",,"2017-06-06 23:55:43",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1496793340.6",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-00000005","","VoiceMail","87655@default,u","2017-06-06 23:55:43","2017-06-06 23:55:43","2017-06-06 23:56:04",20,20,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793340.6",""
"","87655","999","default","""TrollCamp"" <87655>","SCCP/87655-00000007","","VoiceMailMain","87655@default","2017-06-06 23:56:12","2017-06-06 23:56:12","2017-06-06 23:56:16",4,4,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793372.10",""
"","87655","999","default","""TrollCamp"" <87655>","SCCP/87655-00000008","","VoiceMailMain","87655@default","2017-06-06 23:56:19","2017-06-06 23:56:19","2017-06-06 23:56:29",9,9,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793379.12",""
"","87655","80085","default","""TrollCamp"" <87655>","SCCP/87655-00000009","SCCP/80085-0000000A","Dial","SCCP/80085, 240","2017-06-06 23:58:43","2017-06-06 23:58:53","2017-06-06 23:59:00",16,6,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793523.14",""
"","800-Mix-A-Lot","87655","default","""Hedonism"" <800-Mix-A-Lot>","SCCP/800-Mix-A-Lot-0000000C","SCCP/87655-0000000D","Dial","SCCP/87655, 240","2017-06-06 23:59:47",,"2017-06-07 00:00:17",29,0,"FAILED","DOCUMENTATION","main.fuckyou-1496793587.18",""
"","800-Mix-A-Lot","87655","default","""Hedonism"" <800-Mix-A-Lot>","SCCP/800-Mix-A-Lot-0000000C","","VoiceMail","87655@default,u","2017-06-07 00:00:17","2017-06-07 00:00:17","2017-06-07 00:00:24",6,6,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793587.18",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-0000000E","SCCP/87655-0000000F","Dial","SCCP/87655, 240","2017-06-07 00:03:30",,"2017-06-07 00:03:41",11,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1496793810.24",""
"","80085","87655","default","""CAMPFLAMINGO"" <80085>","SCCP/80085-0000000E","","VoiceMail","87655@default,u","2017-06-07 00:03:41","2017-06-07 00:03:41","2017-06-07 00:04:16",34,34,"ANSWERED","DOCUMENTATION","main.fuckyou-1496793810.24",""
"","87655","999","default","""TrollCamp"" <87655>","SCCP/87655-00000010","","VoiceMailMain","87655@default","2017-06-07 00:08:56","2017-06-07 00:08:56","2017-06-07 00:09:43",47,47,"ANSWERED","DOCUMENTATION","main.fuckyou-1496794136.28",""
"","87655","0","default","""TrollCamp"" <87655>","SCCP/87655-00000001","SCCP/0-00000002","Dial","SCCP/0, 240","2017-06-10 01:17:17",,"2017-06-10 01:17:25",8,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057437.0",""
"","911","0","default","""RangerHQ"" <911>","SCCP/911-00000004","SCCP/0-00000005","Dial","SCCP/0, 240","2017-06-10 01:17:51",,"2017-06-10 01:17:54",2,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057471.4",""
"","634","0","default","""Shrugs"" <634>","SCCP/634-00000006","SCCP/0-00000007","Dial","SCCP/0, 240","2017-06-10 01:18:01",,"2017-06-10 01:18:02",1,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057481.7",""
"","666","0","default","""Chupacabra"" <666>","SCCP/666-00000009","SCCP/0-0000000A","Dial","SCCP/0, 240","2017-06-10 01:18:04",,"2017-06-10 01:18:05",1,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057484.11",""
"","80085","0","default","""CampFlamingo"" <80085>","SCCP/80085-0000000B","SCCP/0-0000000C","Dial","SCCP/0, 240","2017-06-10 01:18:07",,"2017-06-10 01:18:08",0,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057487.14",""
"","277","0","default","""SweetAssCamp"" <277>","SCCP/277-0000000D","SCCP/0-0000000E","Dial","SCCP/0, 240","2017-06-10 01:18:10",,"2017-06-10 01:18:15",4,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057490.17",""
"","69696969","0","default","""SpaceApes"" <69696969>","SCCP/69696969-00000010","SCCP/0-00000011","Dial","SCCP/0, 240","2017-06-10 01:18:46",,"2017-06-10 01:18:50",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057526.21",""
"","42","0","default","""TARDISBar"" <42>","SCCP/42-00000012","SCCP/0-00000013","Dial","SCCP/0, 240","2017-06-10 01:18:52",,"2017-06-10 01:19:02",10,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057532.24",""
"","69696969","42","default","""SpaceApes"" <69696969>","SCCP/69696969-00000014","SCCP/42-00000015","Dial","SCCP/42, 240","2017-06-10 01:19:15",,"2017-06-10 01:19:27",12,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057555.27",""
"","865","0","default","""VolunteerHQ"" <865>","SCCP/865-00000016","SCCP/0-00000017","Dial","SCCP/0, 240","2017-06-10 01:19:36",,"2017-06-10 01:19:39",2,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057576.30",""
"","634","0","default","""Shrugs"" <634>","SCCP/634-00000018","SCCP/0-00000019","Dial","SCCP/0, 240","2017-06-10 01:20:10",,"2017-06-10 01:20:17",7,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057610.33",""
"","8006492568","0","default","""Hedonism"" <8006492568>","SCCP/8006492568-0000001B","SCCP/0-0000001C","Dial","SCCP/0, 240","2017-06-10 01:20:48",,"2017-06-10 01:20:51",2,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057648.37",""
"","5","0","default","""CosmicRampage"" <5>","SCCP/5-0000001D","SCCP/0-0000001E","Dial","SCCP/0, 240","2017-06-10 01:21:00",,"2017-06-10 01:21:04",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057660.40",""
"","777","0","default","""FreerangeDisco"" <777>","SCCP/777-0000001F","SCCP/0-00000020","Dial","SCCP/0, 240","2017-06-10 01:22:02","2017-06-10 01:22:06","2017-06-10 01:22:12",10,5,"ANSWERED","DOCUMENTATION","main.fuckyou-1497057722.43",""
"","22","0","default","""TheTARDIS"" <22>","SCCP/22-00000021","SCCP/0-00000022","Dial","SCCP/0, 240","2017-06-10 01:22:40",,"2017-06-10 01:22:50",10,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057760.46",""
"","1269","0","default","""DustyBootyRanch"" <1269>","SCCP/1269-00000024","SCCP/0-00000025","Dial","SCCP/0, 240","2017-06-10 01:23:54",,"2017-06-10 01:24:01",7,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057834.50",""
"","634","0","default","""Shrugs"" <634>","SCCP/634-00000026","SCCP/0-00000027","Dial","SCCP/0, 240","2017-06-10 01:24:17",,"2017-06-10 01:25:09",51,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497057857.52",""
"","22","0","default","""TheTARDIS"" <22>","SCCP/22-0000002A","SCCP/0-0000002B","Dial","SCCP/0, 240","2017-06-10 01:28:03",,"2017-06-10 01:28:05",1,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497058083.58",""
"","22","8487","default","""TheTARDIS"" <22>","SCCP/22-0000002C","SCCP/8487-0000002D","Dial","SCCP/8487, 240","2017-06-10 01:29:15",,"2017-06-10 01:29:18",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497058155.61",""
"","22","8487","default","""TheTARDIS"" <22>","SCCP/22-00000030","SCCP/8487-00000031","Dial","SCCP/8487, 240","2017-06-10 01:29:34",,"2017-06-10 01:29:38",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497058174.66",""
"","8487","22","default","""Pretty"" <8487>","SCCP/8487-00000033","SCCP/22-00000034","Dial","SCCP/22, 240","2017-06-10 01:29:58","2017-06-10 01:30:13","2017-06-10 01:30:18",20,5,"ANSWERED","DOCUMENTATION","main.fuckyou-1497058198.70",""
"","789","5555555","default","""JurassicSnark"" <789>","SCCP/789-00000039","","Dial","SCCP/5555555, 240","2017-06-10 01:33:56","2017-06-10 01:33:57","2017-06-10 01:33:58",1,0,"ANSWERED","DOCUMENTATION","main.fuckyou-1497058436.77",""
"","8487","0","default","""Pretty"" <8487>","SCCP/8487-0000003C","SCCP/0-0000003D","Dial","SCCP/0, 240","2017-06-10 01:34:11",,"2017-06-10 01:34:15",3,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497058451.81",""
"","0","8487","default","""Operator"" <0>","SCCP/0-0000003F","SCCP/8487-00000040","Dial","SCCP/8487, 240","2017-06-10 01:34:36","2017-06-10 01:34:40","2017-06-10 01:34:43",6,2,"ANSWERED","DOCUMENTATION","main.fuckyou-1497058476.85",""
"","22","0","default","""TheTARDIS"" <22>","SCCP/22-00000001","SCCP/0-00000002","Dial","SCCP/0, 240","2017-06-10 01:41:22",,"2017-06-10 01:41:24",1,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497058882.0",""
"","789","0","default","""JurassicSnark"" <789>","SCCP/789-00000003","SCCP/0-00000004","Dial","SCCP/0, 240","2017-06-10 01:41:36",,"2017-06-10 01:41:41",4,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497058896.3",""
"","5555555","0","default","""MysticCafe"" <5555555>","SCCP/5555555-00000005","SCCP/0-00000006","Dial","SCCP/0, 240","2017-06-10 01:45:43",,"2017-06-10 01:46:02",18,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497059143.6",""
"","5555555","0","default","""MysticCafe"" <5555555>","SCCP/5555555-00000001","SCCP/0-00000002","Dial","SCCP/0, 240","2017-06-10 02:24:24","2017-06-10 02:24:29","2017-06-10 02:24:39",14,9,"ANSWERED","DOCUMENTATION","main.fuckyou-1497061464.0",""
"","0","5555555","default","""Operator"" <0>","SCCP/0-00000003","SCCP/5555555-00000004","Dial","SCCP/5555555, 240","2017-06-10 02:32:45","2017-06-10 02:33:52","2017-06-10 02:34:12",87,20,"ANSWERED","DOCUMENTATION","main.fuckyou-1497061965.3",""
"","911","0","default","""RangerHQ"" <911>","SCCP/911-00000006","SCCP/0-00000007","Dial","SCCP/0, 240","2017-06-10 02:39:53","2017-06-10 02:40:00","2017-06-10 02:43:39",226,219,"ANSWERED","DOCUMENTATION","main.fuckyou-1497062393.7",""
"","911","0","default","""RangerHQ"" <911>","SCCP/911-00000008","SCCP/0-00000009","Dial","SCCP/0, 240","2017-06-10 02:44:53","2017-06-10 02:44:59","2017-06-10 02:45:05",12,6,"ANSWERED","DOCUMENTATION","main.fuckyou-1497062693.10",""
"","911","0","default","""RangerHQ"" <911>","SCCP/911-0000000A","SCCP/0-0000000B","Dial","SCCP/0, 240","2017-06-10 02:45:07","2017-06-10 02:45:20","2017-06-10 02:46:11",64,51,"ANSWERED","DOCUMENTATION","main.fuckyou-1497062707.13",""
"","634","0","default","""Shrugs"" <634>","SCCP/634-00000003","SCCP/0-00000004","Dial","SCCP/0, 240","2017-06-10 03:04:09","2017-06-10 03:04:15","2017-06-10 03:04:21",11,5,"ANSWERED","DOCUMENTATION","main.fuckyou-1497063849.2",""
"","0","634","default","""Operator"" <0>","SCCP/0-00000005","SCCP/634-00000006","Dial","SCCP/634, 240","2017-06-10 03:05:14",,"2017-06-10 03:05:16",2,0,"NO ANSWER","DOCUMENTATION","main.fuckyou-1497063914.5",""
